Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.010566236999693501,20,0,0,804.4493000849795,12000,inf,838.598609898
SGM,0.2,0.0,20,0.95,False,5.0,0.009073338000234799,20,0,0,685.8285336579784,10123,inf,714.8064681520004
SGM,0.55,5000.0,20,0.95,False,5.0,0.008578387000397925,20,0,0,503.8491084160146,7088,732.0250356629999,524.4364373060002
SGM,0.9,10000.0,20,0.95,False,5.0,0.009808016000533826,20,0,0,315.42126158099927,3987,698.5514095660001,326.9857680239993
SGM,1.0,15000.0,20,0.95,False,5.0,0.009402634002071864,20,0,0,258.4456076869992,3023,609.9335058739998,267.3055759230001
SGM,1.0,20000.0,20,0.95,False,5.0,0.009441014997719321,20,0,0,253.02527164803723,2960,546.2578744829998,261.6203139849995
SGM,1.0,25000.0,20,0.95,False,5.0,0.009904313000333786,20,0,0,252.4558911279937,2885,581.6722034929999,261.00736407600016
SGM,1.0,30000.0,20,0.95,False,5.0,0.009301146998041077,20,0,0,249.69102303599539,2909,575.8576343249997,258.1286218910009
SGM,1.0,35000.0,20,0.95,False,5.0,0.00967103500443045,20,0,0,269.3427058659872,3097,551.4701843720013,278.5960217459997
SGM,1.0,40000.0,20,0.95,False,5.0,0.009493426001426997,20,0,0,252.85167161693244,2872,568.7730034550004,261.3236351450014
SGM,1.0,45000.0,20,0.95,False,5.0,0.010265296003126423,20,0,0,248.5387327280605,2812,582.3346802369997,256.80322601199987
SGM,1.0,50000.0,20,0.95,False,5.0,0.010021824999057571,20,0,0,262.11827018305485,3020,556.7310695080014,271.05199432799964
