Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.1,inf,20,0.95,False,inf,0.009765348002019891,20,0,0,651.8946434699847,11521,inf,679.8970711070001
SGM,0.0,0.0,20,0.95,False,5.0,0.00766258600015135,20,0,0,675.0980822770075,12000,inf,704.6745906299998
SGM,0.05,5000.0,20,0.95,False,5.0,0.005235093000010238,20,0,0,658.3067161249437,11672,528.3637210640004,687.1691308
SGM,0.45,10000.0,20,0.95,False,5.0,0.007493708000765764,20,0,0,542.8175253740355,9320,469.9201635769996,565.6737113240006
SGM,0.7,15000.0,20,0.95,False,5.0,0.0065781350022007246,20,0,0,457.58141384302235,7665,521.0464648000006,476.4188446809994
SGM,0.45,20000.0,20,0.95,False,5.0,0.0055582650002179435,20,0,0,520.2997734230676,9146,453.1277368560004,541.2982797770001
SGM,0.2,25000.0,20,0.95,False,5.0,0.005814418005684274,20,0,0,596.325540229991,10580,412.56270841700007,620.6636245850004
SGM,0.6,30000.0,20,0.95,False,5.0,0.006717807000313769,20,0,0,471.3983126270923,7959,362.9303975900002,489.8406739659986
SGM,0.8,35000.0,20,0.95,False,5.0,0.005611602000499261,20,0,0,387.72328810112776,6375,366.0661211629995,402.3934077929989
SGM,0.7,40000.0,20,0.95,False,5.0,0.005992628004605649,20,0,0,423.54189624009996,6981,366.41423554299945,439.5645354669996
SGM,0.75,45000.0,20,0.95,False,5.0,0.0060433990038291086,20,0,0,389.1860752739394,6555,376.11992186099997,404.35830699100006
SGM,0.75,50000.0,20,0.95,False,5.0,0.007318447000216111,20,0,0,435.4694282609671,6775,370.40683641099895,452.45704541899977
