Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.1,inf,20,0.95,False,inf,0.02186692300051618,20,16,12,559.2291260920074,1397,inf,562.9187666819998
SoRB,0.0,0.0,20,0.95,False,5.0,0.011744056001134595,20,17,11,536.0131307390025,1817,inf,541.0107043960002
SoRB,0.2,5000.0,20,0.95,False,5.0,0.010809269000674249,20,16,14,508.2522016529765,294,5993.175273981,508.93689286100016
SoRB,0.45,10000.0,20,0.95,False,5.0,0.02922285400200053,20,11,4,508.5569363219947,697,6845.552192445,510.3399951089996
SoRB,0.2,15000.0,20,0.95,False,5.0,0.012970275998668512,20,16,11,523.12955387498,320,6174.99049122,523.992695375
SoRB,0.25,20000.0,20,0.95,False,5.0,0.018728163009654963,20,15,11,513.2641689089833,383,7160.251895378002,514.4184689499998
SoRB,0.25,25000.0,20,0.95,False,5.0,0.011952645021665376,20,15,9,489.276213101999,386,9035.796551453,490.18180366900197
SoRB,0.4,30000.0,20,0.95,False,5.0,0.020536246986011975,20,12,7,349.37682788401435,578,9068.705651599004,350.4571286999999
SoRB,0.35,35000.0,20,0.95,False,5.0,0.020175323967123404,20,13,8,358.5624501259372,553,5882.9000991249995,359.66579945600097
SoRB,0.4,40000.0,20,0.95,False,5.0,0.021427261002827436,20,12,7,361.67547683905286,593,6555.772752060999,362.8385873549996
SoRB,0.2,45000.0,20,0.95,False,5.0,0.010567295015789568,20,16,12,348.39646136801457,323,6543.0555237070075,349.0369852679869
SoRB,0.2,50000.0,20,0.95,False,5.0,0.009660027018981054,20,16,10,342.40823236614233,287,7126.267831328005,342.9313548850041
