Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.45,inf,20,0.95,False,inf,0.04623889600020448,20,11,8,563.9368144229986,1236,inf,567.1211187590002
SoRB,0.25,0.0,20,0.95,False,5.0,0.014789585998187249,20,15,7,508.35360504899336,816,inf,510.33561967900005
SoRB,0.3,5000.0,20,0.95,False,5.0,0.02192704700064496,20,14,9,505.03632258400376,1011,4087.500788066,507.5775059259995
SoRB,0.3,10000.0,20,0.95,False,5.0,0.02273054099532601,20,14,9,518.1848260139941,1096,2688.784923514,521.0972424760002
SoRB,0.2,15000.0,20,0.95,False,5.0,0.013358635997064994,20,16,8,538.0643776360266,656,2892.794893733,539.5976517939998
SoRB,0.1,20000.0,20,0.95,False,5.0,0.014932715996110346,20,18,6,515.1123708270061,358,3775.3731512409995,516.1931120760019
SoRB,0.15,25000.0,20,0.95,False,5.0,0.013101114007440628,20,17,8,509.5822392149821,521,4695.237134598003,511.0458562950007
SoRB,0.1,30000.0,20,0.95,False,5.0,0.007134417002816917,20,18,10,472.5989320219851,300,3223.910834399001,473.4984674820007
SoRB,0.15,35000.0,20,0.95,False,5.0,0.011896811985934619,20,17,11,515.6343154949573,602,3347.8294187930005,517.070246508003
SoRB,0.2,40000.0,20,0.95,False,5.0,0.015519155000220053,20,16,9,523.3893736171958,749,3381.41735204,525.1570676720003
SoRB,0.0,45000.0,20,0.95,False,5.0,0.007977337998454459,20,20,7,481.60445586499554,20,5380.130564946005,481.674279244995
SoRB,0.0,50000.0,20,0.95,False,5.0,0.002563357978942804,20,20,12,421.92053694498463,20,6397.936428413006,421.97770060999756
