Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.05,inf,20,0.95,False,inf,0.28480867000075705,20,0,0,709.9843288489742,11464,inf,735.0579908630002
SoRB,0.0,0.0,20,0.95,False,5.0,0.03767823199996201,20,8,0,549.4102952410208,7208,inf,564.9122974809998
SoRB,0.35,5000.0,20,0.95,False,5.0,0.033830685995781096,20,9,0,411.49431400791764,2985,4925.83776526,416.8912781979998
SoRB,0.3,10000.0,20,0.95,False,5.0,0.031036346999826492,20,10,0,416.04497512694434,2867,4121.940999320001,421.37948641
SoRB,0.7,15000.0,20,0.95,False,5.0,0.04333557600330096,20,6,0,408.66009312002643,999,4025.994136309,410.6187706820019
SoRB,0.5,20000.0,20,0.95,False,5.0,0.02805582699875231,20,10,0,390.63585344998864,664,3813.449981242,391.89102003800144
SoRB,0.5,25000.0,20,0.95,False,5.0,0.039780331990186824,20,10,0,420.8264895370121,707,3729.7527487179977,422.2531196179989
SoRB,0.65,30000.0,20,0.95,False,5.0,0.03507296300085727,20,7,0,384.72170839802857,951,3914.541825078999,386.43069849899985
SoRB,0.5,35000.0,20,0.95,False,5.0,0.03520538200245937,20,10,0,413.92031631299324,705,3764.646393609997,415.3204266169996
SoRB,0.45,40000.0,20,0.95,False,5.0,0.029607548996864352,20,11,0,394.31577040894626,684,3757.1459656570005,395.70932039599575
SoRB,0.35,45000.0,20,0.95,False,5.0,0.019559458007279318,20,13,0,314.43065468596615,544,3540.684735982999,315.3223557279998
SoRB,0.8,50000.0,20,0.95,False,5.0,0.040952750998258125,20,4,0,322.8076650859439,1165,3699.4554722609973,324.73236683900177
