Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.0,inf,20,0.95,False,inf,0.025690072999623226,20,15,11,642.7003839959793,3015,inf,651.3197578590002
SoRB,0.0,0.0,20,0.95,False,5.0,0.004442356000254222,20,19,9,558.2941298769979,619,inf,560.149411459
SoRB,0.05,5000.0,20,0.95,False,5.0,0.004906820000542211,20,19,11,547.1267226559921,180,5084.178392830001,547.778199679
SoRB,0.0,10000.0,20,0.95,False,5.0,0.0021243290011625504,20,20,11,516.7286014650017,20,4103.011982791,516.9549658610013
SoRB,0.2,15000.0,20,0.95,False,5.0,0.01700534399424214,20,16,10,509.3484156279883,579,3371.6257445579977,511.25972184000057
SoRB,0.0,20000.0,20,0.95,False,5.0,0.001848552008596016,20,20,10,459.44494742099414,20,2824.0825133049984,459.6424384739985
SoRB,0.05,25000.0,20,0.95,False,5.0,0.0031494049944740254,20,19,13,423.4038641810075,155,2870.6832539300012,423.8010148350004
SoRB,0.05,30000.0,20,0.95,False,5.0,0.004290970991860377,20,19,10,428.9879174879461,153,2929.4107419520005,429.5223169080018
SoRB,0.1,35000.0,20,0.95,False,5.0,0.007534457006840967,20,18,9,459.69229165606885,315,2701.340479857001,460.5699140350007
SoRB,0.0,40000.0,20,0.95,False,5.0,0.002312555989192333,20,20,8,442.35916542698396,20,2608.132928772997,442.5691498839951
SoRB,0.25,45000.0,20,0.95,False,5.0,0.018574371009890456,20,15,5,470.2580271190309,752,2584.5890944320054,472.3556262139973
SoRB,0.1,50000.0,20,0.95,False,5.0,0.006306952025624923,20,18,10,366.7587335541102,341,2615.507224822999,367.51493637800013
