Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.008607277000237445,20,0,0,670.0994738519842,12000,inf,698.8519373809997
SGM,0.1,0.0,20,0.95,False,5.0,0.006949538999833749,20,0,0,610.2009925309999,11088,inf,636.0863830970002
SGM,0.45,5000.0,20,0.95,False,5.0,0.007327534000523883,20,0,0,443.3770348490102,7817,582.813673873,461.67985471600014
SGM,0.95,10000.0,20,0.95,False,5.0,0.006117738998909772,20,0,0,221.2538524360316,3352,517.6092538839998,229.2302628439993
SGM,0.8,15000.0,20,0.95,False,5.0,0.007359978995737038,20,0,0,290.77530348199707,4734,475.52156711099997,301.8834608450006
SGM,1.0,20000.0,20,0.95,False,5.0,0.008075251001173456,20,0,0,203.25457624103365,2994,439.26604238299933,210.28560714200012
SGM,1.0,25000.0,20,0.95,False,5.0,0.008167547003722575,20,0,0,210.83236542501163,3046,439.02824472300017,218.18054014799964
SGM,1.0,30000.0,20,0.95,False,5.0,0.007225554999422457,20,0,0,197.8782337260418,3028,400.08510804599973,204.54671057799987
SGM,0.95,35000.0,20,0.95,False,5.0,0.007539056000496203,20,0,0,216.40369699401072,3417,435.8844026179995,224.0642722699995
SGM,0.95,40000.0,20,0.95,False,5.0,0.007435198001985555,20,0,0,214.47251273795519,3362,397.93285563799964,221.88345905799906
SGM,1.0,45000.0,20,0.95,False,5.0,0.006945895998796914,20,0,0,195.60938458898454,3010,401.45698047800033,202.29512969200005
SGM,1.0,50000.0,20,0.95,False,5.0,0.006151295996460249,20,0,0,197.98004179397321,3034,413.13358240900016,204.73748626400084
